8,13,26,35,45,51,39
1,15,24,31,34,44,57
3,8,29,30,31,49,52
21,25,39,50,54,59,53
15,19,32,38,47,50,14
21,25,27,39,44,56,45
3,8,13,21,33,41,9
8,14,19,35,42,50,39
1,6,23,30,40,51,36
5,17,30,35,41,49,52
5,8,21,24,50,56,32
8,18,34,44,50,54,23
3,8,25,31,38,44,4
1,17,25,27,28,50,37
1,2,32,33,36,39,20
7,12,20,34,51,52,47
8,18,21,22,26,49,7
9,10,20,34,55,56,8
6,8,11,17,22,41,23
21,27,29,34,41,48,37
5,7,13,38,44,48,8
5,22,35,47,52,58,57
10,25,35,45,48,49,43
2,14,15,21,48,51,36
7,43,46,49,52,57,40
1,11,35,50,55,56,7
6,15,18,31,48,53,26
2,9,18,26,36,57,39
6,15,26,30,55,56,14
19,20,25,36,38,53,47
2,18,21,38,39,44,13
17,26,35,47,55,57,53
1,10,20,23,29,31,56
1,17,32,42,43,54,35
11,15,31,39,47,48,25
1,10,17,20,23,34,22
5,16,21,30,38,49,3
11,23,28,39,44,53,42
11,16,20,22,30,37,23
1,9,32,36,56,57,55
9,16,21,28,30,48,49
18,34,37,38,42,55,39
2,3,30,43,55,59,24
16,25,28,29,46,48,12
14,30,33,45,52,59,34
14,17,23,25,39,45,16
4,5,10,46,50,56,25
4,24,30,37,40,45,27
8,19,22,31,44,53,25
15,18,25,26,27,52,11
7,17,29,47,57,59,23
8,20,22,24,33,41,29
4,7,19,21,26,56,35
7,19,44,47,48,54,51
3,16,27,33,51,58,30
8,23,25,26,40,58,18
9,16,20,32,34,41,3
21,24,36,38,41,47,2
2,19,26,33,50,58,59
15,31,33,37,49,55,28
2,8,11,16,37,54,49
7,9,13,33,35,59,24
2,11,15,19,23,56,14
2,8,17,23,27,55,1
7,26,39,41,50,56,3
8,9,10,22,31,49,20
10,20,30,31,42,49,4
4,8,14,27,44,50,25
6,10,17,31,35,51,34
5,7,21,27,29,50,42
6,12,15,23,39,56,19
16,24,32,34,39,54,50
9,12,13,14,23,53,43
1,5,10,16,28,34,49
5,14,23,25,33,48,20
4,44,46,49,54,59,40
12,15,31,40,47,59,55
6,26,35,39,50,52,18
14,20,21,47,51,54,43
7,16,30,40,51,56,50
3,14,22,45,50,56,54
1,7,11,22,42,52,32
6,10,13,27,29,43,33
2,15,20,24,48,53,56
7,11,21,42,45,52,39
4,20,26,30,54,58,46
27,36,37,51,58,59,7
5,7,15,23,32,44,39
18,22,30,51,55,59,8
3,10,24,29,44,52,8
18,19,25,42,52,56,29
7,28,37,45,48,52,5
5,13,21,23,38,57,45
4,10,28,35,38,55,33
2,15,23,39,54,56,13
5,13,23,33,45,57,51
6,9,29,33,52,57,20
4,6,19,24,33,41,35
4,6,7,20,44,57,24
13,15,19,32,34,48,2
9,35,41,45,54,55,43
7,17,36,38,48,55,10
9,12,18,33,36,50,38
3,23,29,38,45,58,10
3,7,11,15,52,58,56
11,18,35,51,53,55,22
4,10,23,47,53,58,38
14,35,36,44,51,58,50
3,11,16,17,46,53,41
8,39,42,44,48,49,3
11,20,23,28,45,57,3
2,9,10,16,24,44,43
5,24,29,31,39,48,13
1,2,18,42,55,57,36
5,6,23,35,36,44,19
1,20,25,40,42,46,34
3,11,29,37,41,49,27
13,22,27,46,49,53,16
9,20,21,28,32,50,41
2,5,11,24,45,52,6
24,27,37,50,51,58,55
8,26,34,35,44,50,23
16,19,28,32,53,54,14
19,30,36,39,46,47,5
4,9,17,21,43,57,56
4,12,13,17,49,58,35
4,17,35,39,43,45,11
1,14,32,35,41,54,11
6,14,24,29,35,54,36
1,9,11,48,50,53,24
1,12,14,22,23,28,18
6,14,25,44,45,58,53
2,24,38,49,55,57,14
3,13,30,40,47,57,12
10,15,29,34,36,43,2
15,30,31,43,53,54,47
22,37,40,44,45,49,38
4,28,36,37,54,56,8
12,15,31,40,45,50,1
4,12,14,27,29,35,36
17,19,20,22,31,50,26
2,10,33,39,41,52,36
20,24,31,38,43,47,29
10,12,34,45,51,55,48
3,4,30,37,43,53,13
21,29,38,39,51,54,35
5,6,16,20,56,59,57
7,12,26,33,38,39,50
3,5,29,39,42,43,54
19,23,28,41,43,55,59
1,24,27,36,51,55,18
7,8,30,39,41,57,46
11,27,31,41,42,56,33
8,20,30,32,46,58,40
12,13,14,31,34,48,51
10,12,16,20,28,47,2
4,31,35,42,46,58,40
5,16,25,28,34,45,11
2,7,31,33,48,55,42
6,14,27,38,50,58,39
21,32,38,47,48,58,46
7,8,17,21,25,32,5
10,14,24,43,45,53,37
10,22,25,33,34,54,7
4,19,22,25,43,44,2
15,17,19,27,36,57,34
2,9,13,19,24,46,43
3,10,14,22,46,47,26
2,10,18,25,38,40,4
