8,1,3,21,15,21,3,8,1,5,5,8,3,1,1,7,8,9,6,21,5,5,10,2,7,1,6,2,6,19,2,17,1,1,11,1,5,11,11,1,9,18,2,16,14,14,4,4,8,15,7,8,4,7,3,8,9,21,2,15,2,7,2,2,7,8,10,4,6,5,6,16,9,1,5,4,12,6,14,7,3,1,6,2,7,4,27,5,18,3,18,7,5,4,2,5,6,4,4,13,9,7,9,3,3,11,4,14,3,8,11,2,5,1,5,1,3,13,9,2,24,8,16,19,4,4,4,1,6,1,1,6,2,3,10,15,22,4,12,4,17,2,20,10,3,21,5,7,3,19,1,7,11,8,12,10,4,5,2,6,21,7,10,10,4,15,2,3,2,14,2,4,8,12,6,6,4,8,13,12,13,4,2,11,1,5,4,9,8,17,6,10,5,16,6,7,29,5,7,6,3,13,10,7,8,11,20,27,4,7,6,8,10,3,23,7,7,15,24,18,1,16,6,6,5,10,2,22,17,21,8,4,1,7,1,3,6,11,5,1,1,3,13,15,1,15,6,2,7,2,23,12,15,5,17,4,14,1,6,6,2,16,13,25,13,11,1,9,5,4,18,38,19,12,2,5,5,20,5,7,3,7,8,3,12,17,11,4,4,14,15,5,20,8,22,10,1,2,8,6,3,2,18,7,2,3,4,30,23,6,25,8,11,8,4,9,24,3,1,2,5,3,9,4,3,8,15,6,6,3,1,2,2,1,24,2,17,2,3,14,6,3,31,3,19,8,21,10,7,22,1,20,3,20,13,3,11,5,14,5,8,9,14,8,1,18,6,6,2,3,1,4,22,7,9,2,3,11,7,5,8,21,6,8,20,2,5,1,6,23,18,13,3,12,1,4,4,3,12,11,8,7,8,7,14,1,2,4,10,13,7,31,2,1,10,15,13,15,3,3,14,19,4,4,7,7,8,10,8,6,2,4,4,7,11,10,12,11,3,9,25,8,9,3,10,17,3,5,2,6,10,3,1,12,22,6,8,20,17,10,19,1,8,31,12,20,14,2,17,3,1,21,3,16,12,5,18,4,10,11,2,24,21,3,4,8,1,18,2,21,1,13,9,4,2,2,9,4,6,16,20,1,2,8,9,5,5,27,19,5,2,7,6,3,3,9,5,9,1,9,2,3,6,7,6,1,9,1,7,6,3,10,20,11,1,8,15,4,10,1,16,5,13,24,13,13,3,8,7,7,4,4,12,1,3,7,1,28,13,7,11,8,3,25,4,14,7,6,15,6,2,14,1,4,8,1,7,2,7,5,8,29,3,4,11,5,16,17,2,3,2,5,3,2,4,19,14,5,1,6,23,18,12,24,2,12,6,8,15,9,14,6,2,4,16,23,15,7,11,4,9,2,2,12,3,6,6,8,3,2,4,5,21,11,20,1,17,8,15,10,11,5,2,6,21,5,22,1,7,19,6,1,1,8,20,17,7,8,7,12,18,25,28,2,6,5,3,2,1,14,1,1,8,3,11,9,12,4,15,1,3,25,7,10,1,4,25,2,3,2,17,10,3,19,16,1,1,4,1,8,17,6,1,5,5,9,7,7,8,3,3,3,4,16,10,2,1,7,5,22,11,2,8,15,14,9,8,18,14,3,7,7,14,12,1,2,17,15,18,8,10,5,3,13,1,12,15,15,1,1,6,7,7,16,31,25,16,8,11,7,8,11,2,28,12,16,10,5,17,12,1,23,12,1,10,3,4,4,1,1,3,14,2,4,9,2,9,11,5,10,5,8,12,1,9,2,1,1,3,2,4,11,7,18,16,6,8,7,11,33,22,12,19,19,2,1,3,8,7,5,7,2,14,5,9,10,5,1,3,22,3,7,23,7,22,19,17,9,9,17,8,26,3,19,10,3,26,4,8,2,10,16,16,4,6,16,7,9,19,11,4,8,11,12,18,2,10,4,1,9,3,19,10,6,13,8,23,2,13,27,18,28,3,3,2,3,6,11,12,7,12,1,11,9,7,8,3,8,15,2,1,4,8,7,4,8,2,1,2,4,6,11,15,8,39,13,11,11,4,4,28,6,9,5,22,6,3,5,3,5,9,8,15,1,9,9,8,7,2,8,3,21,4,7,8,4,12,8,11,1,2,1,12,7,2,1,12,6,3,17,17,1,15,5,8,16,4,23,4,1,12,14,4,11,1,1,16,7,2,1,2,4,17,8,5,8,8,13,1,15,5,13,15,1,4,9,6,15,12,11,3,2,8,8,16,5,13,13,4,17,4,4,4,2,32,3,11,3,9,6,29,13,13,6,1,9,11,1,3,2,7,5,5,12,15,13,18,2,5,1,5,5,14,6,9,14,25,6,2,15,3,1,4,5,12,15,1,7,3,1,6,8,7,8,13,9,10,12,10,8,1,1,1,6,21,11,1,6,20,10,4,8,1,4,4,3,12,2,1,9,6,4,14,29,1,5,7,2,1,5,23,1,5,4,21,3,11,3,6,3,2,1,1,10,8,2,1,8,10,7,7,7,23,20,15,1,5,8,5,6,23,11,19,30,1,12,1,11,7,14,5,5,18,10,2,1,2,2,11,4,9,3,17,6,22,26,2,1,2,4,5,3,12,5,12,6,17,8,2,20,10,30,6,15,2,5,12,16,6,10,2,3,2,5,6,4,7,5,9,9,1,9,3,4,7,1,19,3,2,5,12,19,11,5,23,11,1,13,15,1,9,12,3,29,10,10,15,14,3,2,6,16,8,4,8,9,3,2,2,19,7,3,11,1,6,2,25,8,2,12,9,9,5,12,7,10,11,16,2,5,25,2,1,4,4,8,5,1,1,4,27,8,7,2,4,6,14,5,4,5,10,27,3,3,6,13,34,5,1,4,10,3,22,20,9,17,1,17,12,1,5,13,17,14,2,1,4,2,2,9,8,3,17,2,9,6,4,2,4,7,8,3,2,7,11,7,23,2,9,6,20,8,2,4,7,15,4,2,1,3,1,15,6,9,3,15,2,5,7,9,19,28,15,5,9,3,5,4,4,3,3,6,3,19,2,5,2,4,8,7,9,23,3,13,8,4,2,11,10,2,14,27,1,2,7,1,12,7,8,5,1,21,15,25,3,9,8,24,4,22,5,11,2,2,12,3,19,3,11,4,22,13,14,8,15,4,5,11,3,17,4,2,10,1,8,13,14,11,23,5,2,9,13,5,5,2,3,1,5,15,2,3,22,16,5,19,2,4,7,11,10,7,7,17,6,5,8,4,2,5,16,6,6,2,5,1,3,15,8,8,2,13,2,1,1,12,2,8,1,2,13,1,1,1,1,1,12,7,5,3,3,22,13,6,3,5,4,9,15,4,3,16,4,5,21,1,20,9,10,1,10,1,13,1,11,5,4,2,1,1,27,9,15,6,4,7,4,13,6,8,3,3,12,7,8,8,20,1,16,5,8,3,19,11,5,3,9,11,2,3,8,10,31,14,4,16,23,8,4,14,2,3,4,1,9,13,9,1,15,4,41,17,17,3,16,4,5,12,4,16,7,1,1,2,1,1,2,14,18,10,9,5,21,12,2,13,6,6,7,12,8,10,18,16,6,4,16,3,10,18,12,9,5,11,3,2,1,1,6,15,1,9,15,4,5,3,3,1,13,1,8,7,5,1,14,4,2,4
13,15,8,25,19,25,8,14,6,17,8,18,8,17,2,12,18,10,8,27,7,22,25,14,43,11,15,9,15,20,18,26,10,17,15,10,16,23,16,9,16,34,3,25,30,17,5,24,19,18,17,20,7,19,16,23,16,24,19,31,8,9,11,8,26,9,20,8,10,7,12,24,12,5,14,44,15,26,20,16,14,7,10,15,11,20,36,7,22,10,19,28,13,10,15,13,9,6,6,15,35,17,12,23,7,18,10,35,11,39,20,9,24,2,6,20,11,22,20,5,27,26,19,30,9,12,17,14,14,9,12,14,24,13,15,30,37,28,15,12,19,10,24,12,4,29,6,12,5,23,24,8,27,20,13,12,31,16,7,14,32,8,14,22,19,17,9,10,10,16,5,18,43,24,9,7,17,20,14,16,29,10,13,15,3,20,14,16,13,28,9,25,8,31,10,14,32,15,12,10,28,24,14,11,12,15,30,29,22,11,10,16,14,10,25,9,11,24,29,33,6,19,7,7,16,11,26,25,26,24,12,15,2,10,2,19,18,27,8,12,22,13,22,18,4,28,10,5,8,5,30,16,17,26,19,14,16,4,18,17,11,21,17,45,26,18,6,38,8,7,39,45,26,16,3,17,8,21,7,15,4,17,20,29,19,20,14,29,19,21,32,32,26,15,26,22,4,5,22,9,9,21,23,15,37,19,19,32,31,9,29,17,21,13,8,10,27,15,4,40,17,10,18,12,17,28,17,7,25,5,22,4,10,20,27,4,42,11,4,15,12,20,33,16,20,18,27,37,17,28,3,28,26,30,19,10,18,17,19,31,27,23,34,36,11,27,19,20,3,9,16,36,26,14,13,7,30,19,10,8,12,30,16,16,34,19,13,6,11,29,23,23,18,25,33,8,22,12,13,13,9,11,30,17,19,2,16,26,12,17,16,32,8,3,37,19,14,31,19,38,17,27,6,9,14,13,13,17,20,14,21,25,17,26,25,22,23,18,6,15,30,19,16,11,16,28,4,12,4,9,15,37,2,15,37,24,25,34,32,15,26,4,25,41,15,28,22,6,20,10,13,27,26,21,17,23,27,41,18,21,11,25,27,6,8,11,11,20,4,23,10,33,10,7,3,12,25,11,33,20,27,13,3,11,16,14,14,31,32,10,3,16,32,11,7,10,36,22,8,13,13,9,30,13,7,39,19,11,9,28,21,15,24,18,8,10,23,8,13,2,26,17,32,25,29,23,9,18,33,8,19,7,18,2,9,10,6,31,25,9,13,24,6,36,20,27,19,8,19,12,11,19,16,19,14,36,14,4,26,16,9,30,6,5,12,27,24,20,3,18,13,18,10,10,12,21,23,15,5,12,24,25,16,31,5,17,29,36,16,14,22,19,17,25,27,27,37,10,14,9,16,4,8,16,19,33,7,16,8,5,5,9,26,21,23,4,28,9,20,15,13,12,13,15,23,6,31,6,13,33,29,23,6,9,22,33,12,9,20,18,32,27,37,4,11,13,7,9,2,33,18,7,9,9,12,13,14,21,21,17,8,30,8,16,8,11,26,11,20,6,24,15,14,28,25,3,9,9,7,24,25,24,4,11,8,14,11,24,22,8,18,12,8,17,19,25,14,11,14,26,16,8,13,20,20,27,21,20,32,24,13,14,15,13,19,8,31,23,30,10,11,22,14,15,13,24,33,28,13,8,7,9,11,19,36,28,20,16,12,9,15,26,7,35,17,17,13,12,22,20,10,26,16,23,11,34,38,11,2,29,18,25,8,18,19,5,12,47,7,14,6,14,25,18,11,7,2,8,29,6,24,19,9,23,29,11,14,18,26,35,40,21,29,36,35,19,5,12,19,12,18,8,25,13,30,21,12,8,7,32,5,29,24,26,27,22,29,22,15,22,14,28,5,23,14,16,29,5,12,15,17,20,17,11,8,23,29,39,30,21,5,16,28,15,33,18,13,28,19,15,18,21,20,18,31,12,24,11,31,45,22,35,4,4,17,5,23,19,29,19,16,13,16,12,23,24,8,13,21,7,7,5,11,31,9,20,4,14,8,18,10,22,18,13,40,22,19,25,6,7,29,13,23,9,28,12,8,18,7,16,21,13,17,9,12,22,16,15,3,16,17,23,18,25,13,42,28,13,16,11,43,8,13,9,15,13,27,10,15,29,21,10,24,11,15,18,21,34,5,4,28,16,6,38,15,11,23,16,10,16,12,11,18,16,15,23,15,18,5,17,6,15,19,14,21,23,24,18,19,19,10,8,16,15,22,13,21,15,14,30,8,17,7,3,38,4,14,12,13,11,38,27,15,9,3,14,22,10,22,39,13,10,7,18,22,14,20,9,27,14,21,8,16,8,15,16,26,8,11,16,5,23,25,18,24,18,5,8,4,13,18,24,23,16,17,17,11,20,20,27,6,17,15,16,24,13,20,8,33,22,9,21,6,15,6,6,13,18,13,17,15,8,33,30,4,16,17,6,3,13,31,14,29,17,32,9,27,5,8,32,8,4,6,24,12,17,6,12,17,17,8,10,36,34,24,11,6,9,14,10,25,18,25,34,4,19,5,13,9,24,21,6,27,30,11,11,14,9,20,5,36,19,20,24,24,27,6,6,5,9,8,8,15,16,17,14,24,21,3,31,11,35,10,23,5,15,21,19,12,13,3,8,21,25,15,7,8,14,22,20,16,18,23,11,15,13,31,9,13,23,17,37,20,26,34,19,18,15,18,2,19,15,8,31,17,17,25,25,16,3,7,23,23,5,21,17,12,7,11,36,19,7,13,11,12,9,29,24,15,17,19,11,6,23,11,17,12,25,12,8,26,14,12,10,11,11,11,3,5,11,35,13,15,9,5,10,16,16,11,6,18,30,4,5,22,25,42,13,8,15,14,4,27,26,14,25,3,19,25,6,8,16,24,18,13,5,10,10,9,10,12,14,18,10,11,29,12,7,10,29,12,6,10,10,12,10,37,11,10,19,21,22,3,5,27,17,5,12,28,9,22,25,9,19,12,28,18,9,9,12,20,32,23,11,10,10,17,17,11,6,10,15,6,22,21,7,9,5,17,22,10,31,6,21,14,28,6,20,13,15,27,29,11,17,20,12,27,8,22,16,27,30,31,32,14,17,15,28,6,23,11,19,15,31,19,6,24,5,17,9,24,16,15,21,27,21,26,20,5,29,11,12,11,3,13,25,39,15,35,24,4,18,20,15,11,20,28,20,8,16,9,6,23,22,18,32,4,21,16,17,15,18,13,18,7,10,13,8,15,9,21,21,9,21,11,12,24,17,19,12,5,36,31,4,7,14,3,39,9,17,35,9,7,9,16,3,14,12,8,9,30,25,32,14,18,7,5,10,16,17,5,18,11,11,22,10,31,23,16,17,36,24,14,14,14,11,19,24,12,2,35,37,22,9,7,17,8,24,9,10,5,19,23,14,10,16,31,20,18,12,30,8,26,28,12,8,13,17,16,19,24,21,40,27,11,27,25,10,5,21,26,26,14,6,16,18,12,5,21,8,43,22,23,9,22,5,17,13,8,21,43,4,28,9,12,8,17,26,22,13,21,11,23,22,21,25,9,16,13,42,9,18,19,24,23,48,21,16,19,22,13,13,14,31,9,3,13,8,23,23,3,26,17,25,7,9,13,17,22,3,20,18,20,4,15,15,10,7
26,24,29,39,32,27,13,19,23,30,21,34,25,25,32,20,21,20,11,29,13,35,35,15,46,35,18,18,26,25,21,35,20,32,31,17,21,28,20,32,21,37,30,28,33,23,10,30,22,25,29,22,19,44,27,25,20,36,26,33,11,13,15,17,39,10,30,14,17,21,15,32,13,10,23,46,31,35,21,30,22,11,13,20,21,26,37,15,30,24,25,37,21,28,23,23,29,19,7,19,41,36,18,29,11,35,23,36,16,42,23,10,29,18,23,25,29,27,21,11,37,34,28,36,17,13,35,32,24,11,14,25,38,30,29,31,40,36,31,14,20,33,31,34,30,38,16,26,29,28,27,30,31,30,14,16,35,25,31,27,38,17,24,25,22,19,13,14,18,25,30,40,46,32,11,32,25,33,15,33,37,22,22,16,7,28,21,22,29,31,10,32,15,32,17,16,34,26,32,13,30,35,18,32,22,16,33,31,25,14,20,17,18,12,31,26,13,29,42,35,19,20,15,19,35,32,32,35,31,31,21,28,25,14,26,27,30,29,11,30,28,19,24,39,6,31,12,13,12,11,46,23,19,27,29,21,27,6,31,24,14,25,20,46,37,38,11,40,16,23,43,47,28,22,6,23,31,30,11,28,29,37,30,32,23,23,23,31,27,40,36,41,31,19,32,25,7,25,25,11,28,22,25,17,41,36,24,47,34,34,33,22,24,15,26,13,35,24,11,42,42,38,27,13,33,31,28,14,31,10,29,9,17,35,36,19,45,12,31,23,16,24,41,19,41,37,28,38,28,31,15,38,34,39,24,11,23,22,32,38,32,26,47,40,21,35,23,30,11,31,17,39,29,22,16,30,34,26,13,16,20,32,26,23,41,31,15,8,36,46,27,29,23,31,38,25,40,16,16,35,11,15,51,22,29,11,17,28,15,27,24,34,24,39,38,33,21,41,22,39,21,36,10,14,22,23,15,20,50,20,38,26,36,36,29,23,27,21,27,17,35,27,38,16,20,29,11,22,9,28,20,40,4,29,38,38,27,36,41,19,41,9,35,45,16,37,37,8,21,18,32,29,30,22,25,33,30,42,21,23,12,27,49,18,10,12,12,23,16,31,11,35,21,25,6,15,35,21,34,30,29,22,15,20,32,33,16,32,34,15,16,26,34,18,28,22,39,28,9,30,24,40,40,32,22,40,21,40,16,33,27,25,34,21,19,24,29,12,22,3,31,30,34,38,31,25,38,25,40,9,20,18,36,25,14,27,36,40,28,11,20,36,20,38,29,35,20,12,21,15,14,20,26,22,25,39,20,5,41,43,40,43,26,10,21,37,41,22,19,19,24,22,14,42,13,29,36,19,7,14,29,31,27,39,27,18,35,38,33,18,28,20,19,38,32,35,43,20,28,22,41,24,23,21,32,39,13,17,23,15,17,18,36,26,26,29,31,21,33,39,19,22,19,34,28,17,34,20,15,45,33,31,21,13,31,41,41,24,25,28,50,34,38,6,26,24,13,16,14,41,29,16,17,10,15,27,40,32,29,19,39,33,10,41,10,26,33,12,26,16,25,17,16,30,32,34,21,25,13,33,32,30,11,17,15,26,23,36,32,21,23,22,19,21,24,32,25,20,26,31,35,17,34,24,30,30,32,22,40,35,16,26,23,17,21,13,45,32,31,16,25,27,28,16,14,26,47,31,14,27,32,12,19,22,38,29,25,27,19,11,28,31,13,39,38,43,16,16,23,26,18,29,24,31,16,37,39,35,22,36,25,28,12,36,21,8,35,52,12,20,21,15,29,34,20,18,10,19,32,35,38,30,19,29,30,13,15,27,36,37,42,28,35,38,40,33,7,25,26,16,29,21,45,19,39,28,20,35,14,34,9,34,30,29,36,27,30,43,22,25,17,37,20,36,25,17,43,10,22,17,26,47,28,28,27,26,33,45,37,26,6,33,30,20,35,32,17,29,22,21,24,27,35,27,40,29,43,32,38,46,31,36,14,5,30,6,27,25,30,27,29,17,20,13,42,44,32,25,32,8,15,12,15,33,10,28,9,19,14,23,16,36,24,18,43,26,33,26,27,19,37,33,34,15,35,27,12,26,18,29,28,28,18,20,26,24,19,18,21,37,37,26,21,37,20,47,34,15,23,13,48,31,24,23,27,23,39,18,27,42,32,13,27,17,21,21,27,36,18,26,31,18,11,44,19,13,29,36,19,19,16,13,32,21,18,33,20,23,40,27,11,16,22,24,30,27,28,19,25,20,30,20,17,19,24,18,35,20,17,34,11,39,17,7,44,23,26,22,14,21,39,29,21,10,13,35,36,18,41,41,14,19,10,32,33,17,34,19,28,24,31,25,19,11,19,31,28,17,12,34,11,24,26,21,33,28,22,12,38,15,51,32,24,27,26,19,15,30,28,32,7,27,38,25,26,21,21,26,49,23,15,36,11,22,20,33,19,29,16,35,31,12,35,31,18,18,24,10,25,14,37,20,30,27,37,41,30,19,32,40,26,18,13,28,16,22,9,19,23,25,39,28,38,36,32,14,14,21,28,19,31,20,37,42,12,36,7,21,27,25,44,7,30,32,20,33,37,25,30,27,38,23,33,41,37,28,15,8,7,25,14,34,32,18,21,17,27,27,16,33,30,39,16,24,27,33,29,20,14,22,8,26,29,36,22,11,12,22,35,35,17,20,31,18,18,16,37,10,22,26,21,39,21,27,41,31,20,36,31,5,26,27,25,38,19,24,32,42,34,7,33,25,25,19,24,35,13,10,19,37,23,12,15,22,16,14,40,43,17,20,20,17,9,30,19,18,31,40,28,18,27,18,15,27,12,22,16,13,13,43,42,22,21,20,12,16,27,17,14,24,33,32,28,9,28,33,43,31,15,19,26,16,28,36,24,30,9,31,45,19,16,17,27,25,17,20,19,17,10,29,33,37,20,15,14,30,30,24,11,30,33,9,19,14,19,34,41,12,12,21,29,24,12,19,30,26,28,19,38,21,32,33,22,31,18,49,25,23,24,17,25,36,29,19,21,42,31,18,16,31,11,22,14,29,34,45,10,10,27,23,25,34,11,38,26,30,25,21,21,23,43,30,22,23,26,30,30,19,38,17,42,33,32,45,36,20,23,39,34,28,21,35,16,47,35,30,36,9,20,17,37,20,29,23,46,26,34,23,28,35,24,16,23,24,26,27,41,28,37,29,14,24,33,24,28,35,37,28,18,17,21,13,28,26,21,41,18,24,32,26,27,19,19,20,8,16,20,11,18,13,24,27,16,40,23,22,31,25,22,13,8,39,36,20,30,23,23,41,13,26,42,11,10,45,18,12,21,14,9,11,31,34,35,25,26,13,12,11,23,18,8,22,18,28,29,13,34,39,17,21,46,27,20,25,21,15,25,26,15,8,36,38,23,12,9,30,15,44,34,24,10,23,25,15,22,21,41,25,26,18,31,25,42,43,13,9,15,25,22,21,31,30,42,30,18,33,36,46,10,27,32,27,30,8,22,21,14,13,26,27,49,35,24,26,31,13,18,21,13,32,48,13,29,29,17,17,25,30,41,40,24,15,25,28,25,32,10,22,18,49,19,30,32,25,25,51,40,25,29,29,16,16,27,44,29,18,14,14,27,28,10,28,21,26,8,18,20,21,27,20,27,39,25,16,21,24,38,12
35,31,30,50,38,39,21,35,30,35,24,44,31,27,33,34,22,34,17,34,38,47,45,21,49,50,31,26,30,36,38,47,23,42,39,20,30,39,22,36,28,38,43,29,45,25,46,37,31,26,47,24,21,47,33,26,32,38,33,37,16,33,19,23,41,22,31,27,31,27,23,34,14,16,25,49,40,39,47,40,45,22,27,24,42,30,51,23,51,29,42,45,23,35,39,33,33,24,20,32,45,38,33,38,15,51,47,44,17,44,28,16,31,42,35,40,37,46,28,24,50,35,32,39,21,17,39,35,29,48,22,44,49,40,34,43,44,37,40,27,22,39,38,45,37,39,20,33,39,41,36,39,41,32,31,20,42,28,33,38,47,21,43,33,25,27,19,22,25,26,32,45,48,49,17,45,31,36,37,42,43,34,30,29,24,50,29,28,30,32,12,44,40,37,21,29,37,51,37,31,37,50,22,37,30,25,36,38,53,21,30,25,30,38,38,29,26,34,43,46,26,40,31,22,47,34,35,37,39,35,51,29,38,15,33,43,34,40,33,37,30,31,26,45,13,49,27,18,21,33,49,38,27,43,37,23,39,25,43,30,17,36,31,49,41,41,24,41,25,39,47,49,29,34,15,29,35,36,20,32,34,47,49,45,33,36,28,32,29,49,42,54,39,27,44,31,18,46,28,12,42,34,27,20,46,44,29,54,35,44,37,39,40,18,28,22,36,43,46,52,44,44,47,15,35,32,38,32,34,41,40,23,26,36,42,23,50,20,37,32,20,25,50,24,42,46,52,43,34,45,30,40,36,46,34,26,25,26,46,40,35,38,50,41,45,40,28,32,24,44,20,52,31,42,27,52,44,29,25,23,53,38,36,34,47,39,38,12,41,48,37,30,37,40,54,29,41,20,24,41,13,26,54,51,34,30,18,30,30,38,26,48,42,46,40,46,43,44,41,40,22,45,12,16,32,24,40,21,52,31,50,35,43,37,36,25,31,32,38,24,40,43,44,22,25,37,42,34,17,41,25,46,15,47,44,49,40,47,43,38,52,25,40,46,23,40,42,11,30,24,34,33,43,43,32,35,34,48,38,34,47,42,55,36,13,20,13,40,18,40,15,41,26,31,31,53,42,34,37,31,50,31,26,34,42,36,38,33,37,25,26,39,42,40,36,24,54,35,32,34,45,45,47,34,30,46,51,45,36,46,37,36,36,23,20,29,37,23,25,13,32,40,36,41,33,30,44,38,43,11,21,28,41,27,24,34,41,43,30,12,41,52,22,44,32,37,26,13,22,17,16,31,28,30,27,50,23,22,42,48,44,49,31,14,36,43,47,31,44,25,32,49,22,45,22,35,38,51,19,41,35,36,28,42,30,38,39,49,34,21,30,21,42,40,34,36,55,30,31,26,45,31,35,39,37,40,35,30,35,34,32,26,39,28,29,30,39,39,45,45,31,23,20,35,38,33,40,48,26,49,44,33,28,21,32,50,51,39,28,40,51,48,40,31,34,30,24,18,25,43,30,25,48,16,27,28,41,39,37,22,46,41,12,50,31,31,45,16,44,17,26,37,45,34,45,44,37,40,30,35,35,50,24,24,18,27,24,52,41,23,33,38,34,30,38,53,32,21,27,36,36,18,44,25,38,34,34,28,41,42,40,27,37,26,49,43,48,41,34,19,43,41,32,20,27,44,53,33,29,42,41,42,21,47,41,35,36,35,32,24,37,36,26,46,48,47,19,45,28,31,31,31,40,35,24,38,45,52,23,42,33,36,27,42,22,29,36,56,20,33,35,31,30,44,23,29,28,28,45,39,40,45,25,35,43,15,40,31,42,47,43,37,42,42,55,42,9,32,28,18,35,34,48,25,44,32,27,39,38,43,14,49,35,31,43,45,43,47,33,42,26,38,31,37,34,36,51,16,32,21,28,53,31,34,39,30,35,49,53,39,15,36,45,32,37,35,38,37,27,23,32,39,40,40,52,32,44,42,42,52,49,43,40,30,38,14,37,29,42,29,42,42,23,14,47,53,40,34,33,42,19,23,24,38,23,52,13,22,33,29,18,40,26,19,53,28,40,35,28,34,45,40,37,16,39,34,15,41,36,42,30,30,33,21,49,42,25,30,25,39,44,42,30,44,35,55,45,16,43,14,50,40,35,30,28,24,41,29,33,45,50,17,55,26,28,24,32,40,27,40,41,23,18,48,32,47,36,50,22,31,17,19,33,36,40,34,41,24,44,37,47,26,23,31,36,37,34,24,38,23,35,42,29,37,33,25,41,28,23,36,13,51,40,9,45,27,29,28,29,45,43,33,24,19,18,44,39,29,42,53,28,22,22,40,42,25,37,42,31,25,35,31,30,35,27,38,35,22,21,35,12,25,36,43,46,35,25,37,46,19,52,36,43,30,27,44,17,50,29,44,12,28,41,30,41,35,27,27,51,40,29,39,13,41,31,36,22,38,25,43,48,23,39,35,25,21,39,20,26,16,45,28,31,34,43,45,36,24,44,46,41,39,26,35,27,30,22,24,27,28,44,43,39,40,34,26,44,26,35,22,36,31,51,50,30,43,32,35,44,34,45,15,35,48,31,48,43,31,36,33,43,43,35,42,45,32,32,28,27,26,37,41,44,25,23,24,28,28,17,41,40,48,24,31,32,39,33,22,32,30,12,38,35,44,30,44,29,28,47,51,22,40,32,27,24,24,40,33,30,27,30,47,26,31,48,37,33,46,44,8,33,43,35,42,42,25,33,47,36,14,37,35,26,36,43,42,17,33,20,44,44,13,26,45,38,16,41,45,39,23,42,25,13,31,38,49,38,46,43,25,32,29,18,46,20,39,27,28,35,44,45,26,33,22,21,21,29,37,20,25,40,44,31,15,42,35,44,33,17,20,33,22,38,43,26,37,28,34,50,44,36,22,28,35,19,35,31,31,31,38,36,44,21,31,16,34,55,36,18,37,40,19,27,41,49,38,43,47,23,26,32,44,14,21,45,37,33,29,57,29,37,42,39,54,25,50,28,34,26,38,29,37,39,24,43,46,37,34,17,48,15,37,17,33,41,48,22,11,30,27,26,41,30,39,27,32,35,31,35,29,45,42,34,26,27,38,32,31,48,25,54,41,46,51,42,27,50,45,38,30,24,37,29,48,41,41,37,21,27,18,39,22,53,50,52,27,36,29,34,37,33,22,45,43,27,50,48,31,52,33,20,34,52,31,31,37,38,30,36,26,25,27,39,35,22,44,39,34,46,29,38,29,27,26,13,17,44,18,20,31,35,41,21,42,25,31,33,33,31,29,24,40,40,32,31,42,31,54,35,39,47,16,12,51,25,13,45,23,17,16,35,40,42,39,28,17,21,19,30,31,13,28,37,32,32,26,40,41,21,35,48,43,34,37,28,33,46,36,24,17,43,41,30,15,20,46,29,48,44,28,50,42,29,30,23,23,43,30,44,33,32,43,47,48,22,26,25,27,44,44,39,38,48,31,37,36,43,48,32,36,40,53,33,9,27,27,17,26,39,31,57,40,28,34,37,21,32,50,30,33,54,15,31,40,28,18,36,35,45,44,26,23,28,30,26,47,18,25,19,53,34,44,38,28,39,52,41,40,30,37,49,23,32,45,49,35,20,33,45,34,24,34,38,34,13,46,25,33,29,27,32,43,44,25,23,33,50,17
